Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*"
08/31/2016 07:10:00,0.75155,0.75156,0.75134,0.75135,0.75152,0.75152,0.75129,0.75130
08/31/2016 07:09:00,0.75145,0.75158,0.75143,0.75155,0.75140,0.75155,0.75139,0.75152
08/31/2016 07:08:00,0.75130,0.75146,0.75130,0.75145,0.75128,0.75142,0.75128,0.75140
08/31/2016 07:07:00,0.75128,0.75138,0.75127,0.75130,0.75124,0.75134,0.75123,0.75128
08/31/2016 07:06:00,0.75126,0.75129,0.75124,0.75128,0.75122,0.75124,0.75119,0.75124
08/31/2016 07:05:00,0.75139,0.75145,0.75122,0.75126,0.75135,0.75141,0.75118,0.75122
08/31/2016 07:04:00,0.75135,0.75139,0.75133,0.75139,0.75131,0.75135,0.75128,0.75135
08/31/2016 07:03:00,0.75145,0.75146,0.75135,0.75135,0.75142,0.75142,0.75131,0.75131
08/31/2016 07:02:00,0.75144,0.75146,0.75139,0.75145,0.75140,0.75143,0.75136,0.75142
08/31/2016 07:01:00,0.75147,0.75148,0.75143,0.75144,0.75144,0.75144,0.75140,0.75140
08/31/2016 07:00:00,0.75138,0.75148,0.75137,0.75147,0.75134,0.75145,0.75133,0.75144
08/31/2016 06:59:00,0.75154,0.75154,0.75138,0.75138,0.75149,0.75149,0.75134,0.75134
08/31/2016 06:58:00,0.75149,0.75157,0.75147,0.75154,0.75145,0.75153,0.75143,0.75149
08/31/2016 06:57:00,0.75147,0.75151,0.75145,0.75149,0.75143,0.75147,0.75142,0.75145
08/31/2016 06:56:00,0.75137,0.75149,0.75137,0.75147,0.75132,0.75144,0.75132,0.75143
08/31/2016 06:55:00,0.75147,0.75149,0.75132,0.75137,0.75144,0.75145,0.75128,0.75132
08/31/2016 06:54:00,0.75137,0.75158,0.75136,0.75147,0.75133,0.75153,0.75131,0.75144
08/31/2016 06:53:00,0.75128,0.75138,0.75126,0.75137,0.75124,0.75134,0.75122,0.75133
08/31/2016 06:52:00,0.75118,0.75129,0.75116,0.75128,0.75114,0.75125,0.75113,0.75124
08/31/2016 06:51:00,0.75117,0.75122,0.75114,0.75118,0.75113,0.75117,0.75110,0.75114
08/31/2016 06:50:00,0.75108,0.75118,0.75105,0.75117,0.75103,0.75114,0.75102,0.75113
08/31/2016 06:49:00,0.75107,0.75108,0.75103,0.75108,0.75102,0.75104,0.75099,0.75103
08/31/2016 06:48:00,0.75096,0.75108,0.75096,0.75107,0.75092,0.75104,0.75092,0.75102
08/31/2016 06:47:00,0.75107,0.75108,0.75094,0.75096,0.75102,0.75103,0.75089,0.75092
08/31/2016 06:46:00,0.75113,0.75119,0.75102,0.75107,0.75108,0.75115,0.75099,0.75102
08/31/2016 06:45:00,0.75097,0.75117,0.75097,0.75113,0.75093,0.75113,0.75093,0.75108
08/31/2016 06:44:00,0.75097,0.75102,0.75094,0.75097,0.75093,0.75098,0.75090,0.75093
08/31/2016 06:43:00,0.75095,0.75106,0.75095,0.75097,0.75091,0.75102,0.75090,0.75093
08/31/2016 06:42:00,0.75097,0.75098,0.75094,0.75095,0.75092,0.75094,0.75090,0.75091
08/31/2016 06:41:00,0.75108,0.75108,0.75092,0.75097,0.75104,0.75104,0.75089,0.75092
08/31/2016 06:40:00,0.75102,0.75112,0.75102,0.75108,0.75099,0.75108,0.75099,0.75104
08/31/2016 06:39:00,0.75103,0.75105,0.75094,0.75102,0.75100,0.75102,0.75090,0.75099
08/31/2016 06:38:00,0.75105,0.75107,0.75096,0.75103,0.75101,0.75103,0.75091,0.75100
08/31/2016 06:37:00,0.75106,0.75108,0.75100,0.75105,0.75101,0.75104,0.75096,0.75101
08/31/2016 06:36:00,0.75103,0.75106,0.75094,0.75106,0.75099,0.75102,0.75090,0.75101
08/31/2016 06:35:00,0.75101,0.75110,0.75093,0.75103,0.75097,0.75104,0.75089,0.75099
08/31/2016 06:34:00,0.75106,0.75106,0.75100,0.75101,0.75102,0.75102,0.75096,0.75097
08/31/2016 06:33:00,0.75123,0.75123,0.75104,0.75106,0.75118,0.75119,0.75100,0.75102
08/31/2016 06:32:00,0.75123,0.75128,0.75119,0.75123,0.75118,0.75124,0.75114,0.75118
08/31/2016 06:31:00,0.75124,0.75128,0.75121,0.75123,0.75120,0.75124,0.75117,0.75118
08/31/2016 06:30:00,0.75127,0.75127,0.75118,0.75124,0.75124,0.75124,0.75114,0.75120
