Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*"
09/06/2016 21:14:00,1.12450,1.12462,1.12450,1.12457,1.12447,1.12457,1.12446,1.12453
09/06/2016 21:13:00,1.12445,1.12451,1.12445,1.12450,1.12444,1.12450,1.12443,1.12447
09/06/2016 21:12:00,1.12447,1.12450,1.12441,1.12445,1.12443,1.12447,1.12437,1.12444
09/06/2016 21:11:00,1.12440,1.12447,1.12434,1.12447,1.12436,1.12444,1.12430,1.12443
09/06/2016 21:10:00,1.12426,1.12441,1.12426,1.12440,1.12422,1.12437,1.12422,1.12436
09/06/2016 21:09:00,1.12432,1.12436,1.12421,1.12426,1.12428,1.12432,1.12417,1.12422
09/06/2016 21:08:00,1.12443,1.12447,1.12430,1.12432,1.12440,1.12444,1.12427,1.12428
09/06/2016 21:07:00,1.12437,1.12446,1.12436,1.12443,1.12434,1.12444,1.12432,1.12440
09/06/2016 21:06:00,1.12430,1.12437,1.12428,1.12437,1.12427,1.12434,1.12425,1.12434
09/06/2016 21:05:00,1.12443,1.12443,1.12430,1.12430,1.12439,1.12439,1.12426,1.12427
09/06/2016 21:04:00,1.12430,1.12443,1.12429,1.12443,1.12428,1.12440,1.12425,1.12439
09/06/2016 21:03:00,1.12420,1.12436,1.12415,1.12430,1.12417,1.12432,1.12412,1.12428
09/06/2016 21:02:00,1.12429,1.12432,1.12419,1.12420,1.12426,1.12428,1.12416,1.12417
09/06/2016 21:01:00,1.12426,1.12435,1.12423,1.12429,1.12423,1.12431,1.12420,1.12426
09/06/2016 21:00:00,1.12437,1.12441,1.12419,1.12426,1.12433,1.12437,1.12415,1.12423
09/06/2016 20:59:00,1.12440,1.12440,1.12433,1.12437,1.12436,1.12437,1.12429,1.12433
09/06/2016 20:58:00,1.12467,1.12468,1.12437,1.12440,1.12465,1.12465,1.12434,1.12436
09/06/2016 20:57:00,1.12490,1.12490,1.12467,1.12467,1.12486,1.12486,1.12465,1.12465
09/06/2016 20:56:00,1.12476,1.12495,1.12476,1.12490,1.12472,1.12493,1.12472,1.12486
09/06/2016 20:55:00,1.12476,1.12487,1.12471,1.12476,1.12472,1.12483,1.12465,1.12472
09/06/2016 20:54:00,1.12460,1.12479,1.12458,1.12476,1.12458,1.12475,1.12454,1.12472
09/06/2016 20:53:00,1.12457,1.12464,1.12449,1.12460,1.12454,1.12462,1.12447,1.12458
09/06/2016 20:52:00,1.12456,1.12466,1.12455,1.12457,1.12452,1.12463,1.12451,1.12454
09/06/2016 20:51:00,1.12456,1.12461,1.12455,1.12456,1.12452,1.12457,1.12451,1.12452
09/06/2016 20:50:00,1.12464,1.12464,1.12448,1.12456,1.12460,1.12461,1.12447,1.12452
09/06/2016 20:49:00,1.12465,1.12474,1.12461,1.12464,1.12461,1.12471,1.12458,1.12460
09/06/2016 20:48:00,1.12475,1.12478,1.12460,1.12465,1.12471,1.12473,1.12457,1.12461
09/06/2016 20:47:00,1.12475,1.12481,1.12470,1.12475,1.12472,1.12478,1.12467,1.12471
09/06/2016 20:46:00,1.12475,1.12477,1.12470,1.12475,1.12472,1.12473,1.12466,1.12472
09/06/2016 20:45:00,1.12456,1.12476,1.12450,1.12475,1.12452,1.12472,1.12447,1.12472
09/06/2016 20:44:00,1.12436,1.12457,1.12435,1.12456,1.12432,1.12453,1.12431,1.12452
09/06/2016 20:43:00,1.12442,1.12462,1.12435,1.12436,1.12437,1.12458,1.12431,1.12432
09/06/2016 20:42:00,1.12452,1.12452,1.12436,1.12442,1.12448,1.12448,1.12431,1.12437
09/06/2016 20:41:00,1.12453,1.12461,1.12447,1.12452,1.12449,1.12457,1.12443,1.12448
09/06/2016 20:40:00,1.12456,1.12459,1.12448,1.12453,1.12452,1.12455,1.12445,1.12449
09/06/2016 20:39:00,1.12447,1.12461,1.12447,1.12456,1.12443,1.12457,1.12442,1.12452
09/06/2016 20:38:00,1.12462,1.12472,1.12446,1.12447,1.12459,1.12467,1.12442,1.12443
09/06/2016 20:37:00,1.12459,1.12463,1.12449,1.12462,1.12456,1.12460,1.12447,1.12459
09/06/2016 20:36:00,1.12456,1.12471,1.12455,1.12459,1.12452,1.12467,1.12451,1.12456
09/06/2016 20:35:00,1.12451,1.12459,1.12444,1.12456,1.12447,1.12455,1.12441,1.12452
09/06/2016 20:34:00,1.12456,1.12459,1.12450,1.12451,1.12452,1.12456,1.12447,1.12447
09/06/2016 20:33:00,1.12468,1.12474,1.12456,1.12456,1.12464,1.12470,1.12452,1.12452
09/06/2016 20:32:00,1.12457,1.12470,1.12453,1.12468,1.12453,1.12466,1.12451,1.12464
09/06/2016 20:31:00,1.12477,1.12479,1.12455,1.12457,1.12474,1.12475,1.12452,1.12453
09/06/2016 20:30:00,1.12467,1.12485,1.12467,1.12477,1.12464,1.12481,1.12464,1.12474
09/06/2016 20:29:00,1.12476,1.12476,1.12464,1.12467,1.12472,1.12472,1.12461,1.12464
09/06/2016 20:28:00,1.12484,1.12487,1.12476,1.12476,1.12481,1.12483,1.12472,1.12472
09/06/2016 20:27:00,1.12486,1.12494,1.12483,1.12484,1.12482,1.12491,1.12479,1.12481
09/06/2016 20:26:00,1.12491,1.12492,1.12482,1.12486,1.12487,1.12488,1.12477,1.12482
09/06/2016 20:25:00,1.12481,1.12492,1.12476,1.12491,1.12477,1.12489,1.12472,1.12487
09/06/2016 20:24:00,1.12507,1.12507,1.12480,1.12481,1.12504,1.12504,1.12477,1.12477
09/06/2016 20:23:00,1.12503,1.12510,1.12496,1.12507,1.12499,1.12508,1.12493,1.12504
09/06/2016 20:22:00,1.12487,1.12505,1.12481,1.12503,1.12482,1.12501,1.12477,1.12499
09/06/2016 20:21:00,1.12485,1.12492,1.12479,1.12487,1.12482,1.12487,1.12477,1.12482
09/06/2016 20:20:00,1.12504,1.12504,1.12483,1.12485,1.12501,1.12501,1.12481,1.12482
09/06/2016 20:19:00,1.12516,1.12518,1.12496,1.12504,1.12512,1.12513,1.12491,1.12501
09/06/2016 20:18:00,1.12528,1.12528,1.12513,1.12516,1.12524,1.12525,1.12507,1.12512
09/06/2016 20:17:00,1.12537,1.12539,1.12524,1.12528,1.12533,1.12535,1.12521,1.12524
09/06/2016 20:16:00,1.12524,1.12540,1.12519,1.12537,1.12520,1.12537,1.12515,1.12533
09/06/2016 20:15:00,1.12531,1.12532,1.12519,1.12524,1.12528,1.12528,1.12516,1.12520
09/06/2016 20:14:00,1.12510,1.12537,1.12509,1.12531,1.12506,1.12533,1.12506,1.12528
09/06/2016 20:13:00,1.12516,1.12516,1.12504,1.12510,1.12512,1.12512,1.12501,1.12506
09/06/2016 20:12:00,1.12521,1.12524,1.12506,1.12516,1.12518,1.12520,1.12501,1.12512
09/06/2016 20:11:00,1.12527,1.12537,1.12516,1.12521,1.12523,1.12532,1.12512,1.12518
09/06/2016 20:10:00,1.12514,1.12541,1.12514,1.12527,1.12511,1.12536,1.12510,1.12523
09/06/2016 20:09:00,1.12523,1.12523,1.12507,1.12514,1.12519,1.12519,1.12503,1.12511
09/06/2016 20:08:00,1.12525,1.12532,1.12522,1.12523,1.12520,1.12527,1.12518,1.12519
09/06/2016 20:07:00,1.12530,1.12535,1.12523,1.12525,1.12526,1.12531,1.12519,1.12520
09/06/2016 20:06:00,1.12522,1.12533,1.12520,1.12530,1.12518,1.12530,1.12516,1.12526
09/06/2016 20:05:00,1.12521,1.12531,1.12518,1.12522,1.12520,1.12528,1.12518,1.12518
09/06/2016 20:04:00,1.12506,1.12531,1.12506,1.12521,1.12503,1.12528,1.12502,1.12520
09/06/2016 20:03:00,1.12492,1.12507,1.12492,1.12506,1.12491,1.12503,1.12491,1.12503
09/06/2016 20:02:00,1.12452,1.12493,1.12441,1.12492,1.12448,1.12491,1.12437,1.12491
09/06/2016 20:01:00,1.12463,1.12466,1.12445,1.12452,1.12458,1.12463,1.12442,1.12448
09/06/2016 20:00:00,1.12462,1.12476,1.12454,1.12463,1.12458,1.12470,1.12451,1.12458
09/06/2016 19:59:00,1.12504,1.12504,1.12459,1.12462,1.12500,1.12501,1.12456,1.12458
09/06/2016 19:58:00,1.12525,1.12526,1.12504,1.12504,1.12521,1.12523,1.12500,1.12500
09/06/2016 19:57:00,1.12514,1.12532,1.12513,1.12525,1.12510,1.12529,1.12510,1.12521
09/06/2016 19:56:00,1.12532,1.12532,1.12513,1.12514,1.12528,1.12528,1.12510,1.12510
09/06/2016 19:55:00,1.12525,1.12533,1.12524,1.12532,1.12523,1.12529,1.12521,1.12528
09/06/2016 19:54:00,1.12524,1.12530,1.12521,1.12525,1.12522,1.12526,1.12518,1.12523
09/06/2016 19:53:00,1.12521,1.12530,1.12519,1.12524,1.12517,1.12526,1.12516,1.12522
09/06/2016 19:52:00,1.12521,1.12523,1.12519,1.12521,1.12517,1.12519,1.12515,1.12517
09/06/2016 19:51:00,1.12508,1.12521,1.12502,1.12521,1.12504,1.12517,1.12498,1.12517
09/06/2016 19:50:00,1.12516,1.12516,1.12498,1.12508,1.12512,1.12513,1.12496,1.12504
09/06/2016 19:49:00,1.12515,1.12516,1.12510,1.12516,1.12511,1.12513,1.12508,1.12512
09/06/2016 19:48:00,1.12526,1.12530,1.12511,1.12515,1.12521,1.12527,1.12508,1.12511
09/06/2016 19:47:00,1.12528,1.12529,1.12511,1.12526,1.12524,1.12525,1.12509,1.12521
09/06/2016 19:46:00,1.12535,1.12539,1.12523,1.12528,1.12531,1.12535,1.12520,1.12524
09/06/2016 19:45:00,1.12527,1.12535,1.12527,1.12535,1.12522,1.12531,1.12522,1.12531
09/06/2016 19:44:00,1.12546,1.12547,1.12526,1.12527,1.12542,1.12543,1.12522,1.12522
09/06/2016 19:43:00,1.12533,1.12547,1.12520,1.12546,1.12528,1.12543,1.12516,1.12542
09/06/2016 19:42:00,1.12552,1.12562,1.12530,1.12533,1.12547,1.12559,1.12526,1.12528
09/06/2016 19:41:00,1.12492,1.12559,1.12492,1.12552,1.12488,1.12554,1.12488,1.12547
09/06/2016 19:40:00,1.12508,1.12509,1.12488,1.12492,1.12506,1.12506,1.12484,1.12488
